TimeStamp,RealTime,LeftPupilDiameter,RightPupilDiameter,EyePosition,EyeRotation,EyeDirection,VergencePosition,HeadRotation,MarkerEyePosition,MarkerEyeRotation,MarkerEyeDirection,MarkerVergencePosition,MarkerHeadRotation,LeftEyeOpenness,RightEyeOpenness,GazeTarget,Situation,SituationRecognized,StartCompression
0,7187408,0.0042,0.0047,(-0.773| -0.789| 0.463),(0.472| 0.543| -0.408| 0.562),(0.225| -0.974| -0.034),(-0.661| -1.276| 0.446),(0.452| 0.547| -0.392| 0.585),(1.680| -1.984| -5.372),(0.107| 0.003| 0.031| -0.994),(0.000| 0.213| 0.977),(1.679| -1.097| -1.297),(0.139| 0.012| 0.024| -0.990),1,1,None,0,0,0
0,7187425,0.0044,0.0048,(-0.772| -0.791| 0.463),(0.472| 0.541| -0.408| 0.564),(0.225| -0.974| -0.031),(-0.654| -1.302| 0.447),(0.452| 0.548| -0.391| 0.585),(1.678| -1.972| -5.356),(0.107| 0.005| 0.029| -0.994),(-0.003| 0.213| 0.977),(1.665| -1.040| -1.084),(0.140| 0.011| 0.024| -0.990),1,1,None,0,0,0
0,7187442,0.0044,0.0047,(-0.770| -0.793| 0.464),(0.474| 0.540| -0.408| 0.564),(0.222| -0.975| -0.032),(-0.652| -1.312| 0.447),(0.453| 0.549| -0.391| 0.583),(1.677| -1.960| -5.337),(0.105| 0.004| 0.027| -0.994),(-0.003| 0.210| 0.978),(1.663| -1.029| -1.001),(0.140| 0.009| 0.024| -0.990),1,1,None,0,0,0
0,7187458,0.0042,0.0047,(-0.769| -0.796| 0.464),(0.476| 0.541| -0.406| 0.562),(0.222| -0.974| -0.039),(-0.661| -1.268| 0.445),(0.455| 0.550| -0.390| 0.581),(1.676| -1.947| -5.315),(0.105| 0.001| 0.027| -0.994),(0.004| 0.209| 0.978),(1.693| -1.102| -1.362),(0.138| 0.006| 0.025| -0.990),1,1,None,0,0,0
0,7187475,0.0042,0.0048,(-0.767| -0.798| 0.464),(0.477| 0.540| -0.407| 0.561),(0.218| -0.975| -0.038),(-0.661| -1.272| 0.446),(0.458| 0.549| -0.390| 0.580),(1.675| -1.934| -5.292),(0.103| 0.002| 0.026| -0.994),(0.002| 0.205| 0.979),(1.684| -1.103| -1.328),(0.136| 0.005| 0.023| -0.990),1,1,None,0,0,0
0,7187492,0.0044,0.0048,(-0.766| -0.801| 0.464),(0.478| 0.537| -0.410| 0.562),(0.212| -0.977| -0.032),(-0.665| -1.263| 0.449),(0.462| 0.546| -0.391| 0.580),(1.675| -1.922| -5.267),(0.101| 0.004| 0.025| -0.995),(-0.004| 0.201| 0.980),(1.660| -1.132| -1.412),(0.132| 0.005| 0.020| -0.991),1,1,None,0,0,0
0,7187508,0.0044,0.0048,(-0.764| -0.804| 0.464),(0.479| 0.536| -0.409| 0.562),(0.212| -0.977| -0.033),(-0.664| -1.268| 0.448),(0.465| 0.543| -0.392| 0.579),(1.674| -1.911| -5.243),(0.100| 0.004| 0.024| -0.995),(-0.003| 0.200| 0.980),(1.662| -1.120| -1.367),(0.128| 0.006| 0.018| -0.992),1,1,None,0,0,0
0,7187525,0.0044,0.0048,(-0.763| -0.807| 0.464),(0.480| 0.536| -0.408| 0.562),(0.211| -0.977| -0.035),(-0.657| -1.300| 0.446),(0.467| 0.540| -0.394| 0.578),(1.674| -1.902| -5.219),(0.100| 0.003| 0.022| -0.995),(-0.001| 0.199| 0.980),(1.670| -1.063| -1.096),(0.124| 0.007| 0.017| -0.992),1,1,None,0,0,0
0,7187542,0.0045,0.0048,(-0.762| -0.810| 0.464),(0.480| 0.536| -0.406| 0.563),(0.214| -0.976| -0.037),(-0.656| -1.292| 0.446),(0.469| 0.539| -0.396| 0.577),(1.673| -1.893| -5.197),(0.102| 0.002| 0.021| -0.995),(0.001| 0.202| 0.979),(1.676| -1.061| -1.162),(0.121| 0.007| 0.017| -0.993),1,1,None,0,0,0
0,7187558,0.0044,0.0048,(-0.761| -0.812| 0.464),(0.482| 0.535| -0.406| 0.563),(0.211| -0.977| -0.037),(-0.657| -1.298| 0.446),(0.470| 0.538| -0.398| 0.576),(1.673| -1.886| -5.177),(0.100| 0.002| 0.020| -0.995),(0.000| 0.199| 0.980),(1.674| -1.063| -1.114),(0.118| 0.008| 0.017| -0.993),0.997,1,None,0,0,0
0,7187575,0.0044,0.0048,(-0.760| -0.814| 0.464),(0.482| 0.533| -0.406| 0.564),(0.210| -0.977| -0.034),(-0.656| -1.300| 0.447),(0.470| 0.537| -0.399| 0.575),(1.673| -1.879| -5.161),(0.099| 0.003| 0.019| -0.995),(-0.003| 0.198| 0.980),(1.662| -1.060| -1.101),(0.117| 0.008| 0.018| -0.993),1,1,None,0,0,0
0,7187592,0.0045,0.0048,(-0.760| -0.816| 0.464),(0.484| 0.534| -0.406| 0.562),(0.207| -0.978| -0.038),(-0.656| -1.305| 0.445),(0.470| 0.538| -0.400| 0.574),(1.674| -1.872| -5.147),(0.098| 0.001| 0.019| -0.995),(0.001| 0.194| 0.981),(1.679| -1.062| -1.054),(0.116| 0.008| 0.019| -0.993),1,1,None,0,0,0
0,7187608,0.0045,0.0048,(-0.759| -0.817| 0.464),(0.485| 0.534| -0.406| 0.561),(0.205| -0.978| -0.040),(-0.655| -1.311| 0.444),(0.470| 0.538| -0.401| 0.573),(1.674| -1.864| -5.137),(0.097| 0.001| 0.019| -0.995),(0.002| 0.193| 0.981),(1.684| -1.054| -1.007),(0.116| 0.008| 0.021| -0.993),1,1,None,0,0,0
0,7187625,0.0045,0.0048,(-0.758| -0.818| 0.464),(0.484| 0.533| -0.408| 0.562),(0.203| -0.978| -0.036),(-0.658| -1.299| 0.446),(0.470| 0.539| -0.401| 0.573),(1.676| -1.856| -5.130),(0.096| 0.003| 0.019| -0.995),(-0.001| 0.191| 0.982),(1.670| -1.074| -1.106),(0.116| 0.007| 0.021| -0.993),1,1,None,0,0,0
0,7187642,0.0044,0.0048,(-0.757| -0.818| 0.464),(0.484| 0.533| -0.409| 0.561),(0.202| -0.979| -0.037),(-0.657| -1.302| 0.445),(0.469| 0.540| -0.400| 0.572),(1.678| -1.849| -5.126),(0.096| 0.002| 0.020| -0.995),(-0.001| 0.190| 0.982),(1.674| -1.064| -1.079),(0.117| 0.006| 0.021| -0.993),1,1,None,0,0,0
0,7187658,0.0043,0.0048,(-0.756| -0.818| 0.463),(0.486| 0.532| -0.410| 0.559),(0.197| -0.980| -0.039),(-0.662| -1.283| 0.445),(0.469| 0.541| -0.399| 0.572),(1.681| -1.839| -5.125),(0.093| 0.002| 0.020| -0.995),(0.000| 0.185| 0.983),(1.681| -1.109| -1.242),(0.118| 0.005| 0.022| -0.993),1,1,None,0,0,0
0,7187675,0.0045,0.0049,(-0.754| -0.818| 0.463),(0.482| 0.537| -0.405| 0.562),(0.213| -0.976| -0.041),(-0.640| -1.343| 0.441),(0.469| 0.543| -0.399| 0.572),(1.684| -1.830| -5.125),(0.101| 0.000| 0.021| -0.995),(0.004| 0.200| 0.980),(1.704| -0.934| -0.739),(0.118| 0.004| 0.022| -0.993),0.993,0.993,None,0,0,0
