TimeStamp,RealTime,LeftPupilDiameter,RightPupilDiameter,EyePosition,EyeRotation,EyeDirection,VergencePosition,HeadRotation,MarkerEyePosition,MarkerEyeRotation,MarkerEyeDirection,MarkerVergencePosition,MarkerHeadRotation,LeftEyeOpenness,RightEyeOpenness,GazeTarget,Situation,SituationRecognized,StartCompression
0,7296623,0.0045,0.0049,(-0.637| -0.823| 0.566),(0.466| 0.535| -0.436| 0.554),(0.187| -0.982| -0.007),(-0.573| -1.155| 0.564),(0.492| 0.523| -0.452| 0.529),(2.061| -1.295| -5.555),(0.070| 0.026| -0.026| -0.997),(-0.055| 0.138| 0.989),(1.905| -0.907| -2.770),(0.030| 0.014| -0.026| -0.999),0.981,0.965,CompressionCountText,0,0,0
0,7296640,0.0048,0.0049,(-0.637| -0.822| 0.566),(0.446| 0.537| -0.430| 0.572),(0.230| -0.973| 0.025),(-0.527| -1.287| 0.578),(0.492| 0.523| -0.452| 0.529),(2.060| -1.295| -5.556),(0.092| 0.041| -0.026| -0.995),(-0.087| 0.181| 0.980),(1.714| -0.574| -1.660),(0.029| 0.014| -0.026| -0.999),0.974,0.96,CompressionStatsText,0,0,0
0,7296673,0.0048,0.0049,(-0.637| -0.823| 0.566),(0.448| 0.535| -0.433| 0.571),(0.224| -0.974| 0.026),(-0.523| -1.317| 0.579),(0.493| 0.523| -0.452| 0.529),(2.061| -1.294| -5.554),(0.089| 0.042| -0.026| -0.995),(-0.088| 0.174| 0.981),(1.690| -0.557| -1.405),(0.029| 0.014| -0.026| -0.999),0.966,0.955,CompressionStatsText,0,0,0
0,7296690,0.0048,0.0049,(-0.637| -0.823| 0.566),(0.447| 0.535| -0.432| 0.572),(0.225| -0.974| 0.027),(-0.525| -1.306| 0.580),(0.493| 0.523| -0.451| 0.529),(2.061| -1.293| -5.553),(0.090| 0.042| -0.026| -0.995),(-0.089| 0.176| 0.980),(1.693| -0.566| -1.502),(0.029| 0.014| -0.027| -0.999),0.982,0.948,CompressionStatsText,0,0,0
0,7296706,0.0048,0.0049,(-0.636| -0.823| 0.566),(0.447| 0.536| -0.432| 0.572),(0.227| -0.974| 0.027),(-0.523| -1.312| 0.580),(0.493| 0.523| -0.451| 0.529),(2.061| -1.293| -5.552),(0.090| 0.042| -0.026| -0.995),(-0.089| 0.177| 0.980),(1.689| -0.550| -1.448),(0.030| 0.014| -0.027| -0.999),0.98,0.955,CompressionStatsText,0,0,0
0,7296740,0.0048,0.0049,(-0.636| -0.823| 0.566),(0.448| 0.535| -0.432| 0.571),(0.224| -0.974| 0.025),(-0.521| -1.325| 0.579),(0.493| 0.523| -0.451| 0.529),(2.060| -1.291| -5.551),(0.089| 0.041| -0.027| -0.995),(-0.087| 0.174| 0.981),(1.688| -0.543| -1.342),(0.030| 0.014| -0.027| -0.999),0.978,0.954,CompressionStatsText,0,0,0
0,7296773,0.0048,0.0049,(-0.636| -0.823| 0.566),(0.448| 0.536| -0.431| 0.572),(0.227| -0.973| 0.025),(-0.517| -1.333| 0.579),(0.493| 0.522| -0.451| 0.530),(2.059| -1.290| -5.551),(0.091| 0.041| -0.027| -0.995),(-0.086| 0.178| 0.980),(1.682| -0.512| -1.271),(0.030| 0.014| -0.027| -0.999),0.964,0.946,CompressionStatsText,0,0,0
0,7296790,0.0048,0.0049,(-0.636| -0.823| 0.566),(0.449| 0.534| -0.432| 0.571),(0.222| -0.975| 0.026),(-0.518| -1.339| 0.580),(0.493| 0.522| -0.451| 0.530),(2.059| -1.290| -5.552),(0.088| 0.042| -0.027| -0.995),(-0.088| 0.173| 0.981),(1.670| -0.526| -1.225),(0.030| 0.015| -0.028| -0.999),0.969,0.949,CompressionStatsText,0,0,0
0,7296806,0.0048,0.0049,(-0.636| -0.823| 0.567),(0.448| 0.536| -0.430| 0.572),(0.228| -0.973| 0.024),(-0.521| -1.313| 0.578),(0.493| 0.522| -0.451| 0.530),(2.059| -1.290| -5.552),(0.091| 0.041| -0.027| -0.995),(-0.086| 0.179| 0.980),(1.700| -0.540| -1.440),(0.030| 0.014| -0.028| -0.999),0.978,0.949,CompressionStatsText,0,0,0
0,7296823,0.0045,0.0049,(-0.636| -0.823| 0.566),(0.448| 0.537| -0.430| 0.571),(0.228| -0.973| 0.022),(-0.526| -1.293| 0.577),(0.493| 0.523| -0.451| 0.530),(2.059| -1.289| -5.552),(0.091| 0.040| -0.027| -0.995),(-0.084| 0.179| 0.980),(1.721| -0.569| -1.607),(0.030| 0.014| -0.027| -0.999),0.974,0.944,CompressionStatsText,0,0,0
