TimeStamp,RealTime,LeftPupilDiameter,RightPupilDiameter,EyePosition,EyeRotation,EyeDirection,VergencePosition,HeadRotation,MarkerEyePosition,MarkerEyeRotation,MarkerEyeDirection,MarkerVergencePosition,MarkerHeadRotation,LeftEyeOpenness,RightEyeOpenness,GazeTarget,Situation,SituationRecognized,StartCompression
0,7053961,0.004,0.004,(-0.855| -0.777| 0.364),(0.452| 0.548| -0.431| 0.557),(0.222| -0.975| -0.008),(-0.751| -1.234| 0.361),(0.376| 0.589| -0.355| 0.620),(1.956| -2.846| -6.022),(0.112| 0.008| 0.006| -0.994),(-0.015| 0.223| 0.975),(1.898| -1.976| -2.211),(0.240| 0.016| -0.003| -0.971),1,1,None,0,0,0
0,7053978,0.004,0.004,(-0.867| -0.767| 0.366),(0.451| 0.550| -0.426| 0.559),(0.230| -0.973| -0.012),(-0.757| -1.229| 0.360),(0.373| 0.591| -0.349| 0.625),(1.944| -2.947| -6.100),(0.116| 0.005| 0.004| -0.993),(-0.010| 0.231| 0.973),(1.906| -2.032| -2.250),(0.248| 0.015| -0.006| -0.969),1,1,None,0,0,0
0,7053994,0.004,0.004,(-0.879| -0.757| 0.367),(0.449| 0.553| -0.420| 0.563),(0.245| -0.969| -0.014),(-0.755| -1.247| 0.360),(0.369| 0.593| -0.343| 0.628),(1.933| -3.046| -6.181),(0.124| 0.004| 0.002| -0.992),(-0.007| 0.246| 0.969),(1.903| -2.011| -2.101),(0.256| 0.015| -0.007| -0.967),1,0.999,None,0,0,0
0,7054011,0.004,0.0041,(-0.890| -0.747| 0.368),(0.447| 0.552| -0.417| 0.567),(0.254| -0.967| -0.009),(-0.779| -1.169| 0.364),(0.365| 0.596| -0.338| 0.630),(1.925| -3.142| -6.266),(0.129| 0.006| -0.001| -0.992),(-0.012| 0.255| 0.967),(1.883| -2.214| -2.753),(0.262| 0.013| -0.007| -0.965),1,0.997,None,0,0,0
0,7054028,0.004,0.004,(-0.902| -0.737| 0.368),(0.446| 0.557| -0.410| 0.567),(0.266| -0.964| -0.019),(-0.768| -1.221| 0.359),(0.362| 0.599| -0.334| 0.631),(1.918| -3.237| -6.352),(0.135| 0.000| -0.002| -0.991),(-0.001| 0.267| 0.964),(1.915| -2.121| -2.321),(0.268| 0.012| -0.007| -0.963),1,0.991,None,0,0,0
0,7054044,0.004,0.0043,(-0.913| -0.726| 0.369),(0.444| 0.561| -0.405| 0.569),(0.279| -0.960| -0.024),(-0.759| -1.259| 0.355),(0.359| 0.601| -0.330| 0.633),(1.914| -3.332| -6.440),(0.141| -0.002| -0.002| -0.990),(0.004| 0.279| 0.960),(1.934| -2.043| -2.001),(0.273| 0.011| -0.007| -0.962),0.997,0.994,None,0,0,0
0,7054061,0.004,0.004,(-0.924| -0.716| 0.369),(0.442| 0.562| -0.402| 0.572),(0.288| -0.958| -0.021),(-0.777| -1.206| 0.358),(0.356| 0.604| -0.326| 0.635),(1.912| -3.425| -6.529),(0.146| -0.001| -0.003| -0.989),(0.002| 0.288| 0.958),(1.920| -2.195| -2.441),(0.279| 0.010| -0.007| -0.960),0.998,0.992,None,0,0,0
0,7054078,0.004,0.0041,(-0.935| -0.705| 0.369),(0.439| 0.564| -0.399| 0.575),(0.297| -0.955| -0.021),(-0.776| -1.217| 0.357),(0.352| 0.606| -0.320| 0.637),(1.912| -3.518| -6.617),(0.151| -0.002| -0.004| -0.989),(0.003| 0.298| 0.955),(1.923| -2.186| -2.347),(0.286| 0.009| -0.008| -0.958),1,0.997,None,0,0,0
0,7054094,0.004,0.0039,(-0.946| -0.695| 0.369),(0.437| 0.563| -0.398| 0.578),(0.303| -0.953| -0.015),(-0.787| -1.195| 0.361),(0.347| 0.609| -0.316| 0.639),(1.913| -3.609| -6.704),(0.154| 0.001| -0.005| -0.988),(-0.004| 0.304| 0.953),(1.896| -2.281| -2.536),(0.294| 0.008| -0.007| -0.956),1,0.997,None,0,0,0
0,7054111,0.004,0.0041,(-0.957| -0.685| 0.368),(0.435| 0.566| -0.394| 0.579),(0.313| -0.950| -0.018),(-0.775| -1.238| 0.358),(0.343| 0.612| -0.311| 0.641),(1.915| -3.699| -6.788),(0.159| -0.001| -0.005| -0.987),(0.000| 0.313| 0.950),(1.914| -2.177| -2.177),(0.301| 0.008| -0.007| -0.954),0.992,0.991,None,0,0,0
